,date,weekday,day_x,hour,time,month,rides,holiday,datetime,year,is_holiday,is_weekend
144,2019-01-08,Tuesday,8,23,23:00:00,1,160,no festivo,2019-01-08 23:00:00,2019,0,0
145,2019-01-09,Wednesday,9,0,00:00:00,1,82,no festivo,2019-01-09 00:00:00,2019,0,0
146,2019-01-09,Wednesday,9,1,01:00:00,1,59,no festivo,2019-01-09 01:00:00,2019,0,0
147,2019-01-09,Wednesday,9,2,02:00:00,1,24,no festivo,2019-01-09 02:00:00,2019,0,0
148,2019-01-09,Wednesday,9,3,03:00:00,1,24,no festivo,2019-01-09 03:00:00,2019,0,0
149,2019-01-09,Wednesday,9,4,04:00:00,1,32,no festivo,2019-01-09 04:00:00,2019,0,0
150,2019-01-09,Wednesday,9,5,05:00:00,1,80,no festivo,2019-01-09 05:00:00,2019,0,0
151,2019-01-09,Wednesday,9,6,06:00:00,1,299,no festivo,2019-01-09 06:00:00,2019,0,0
152,2019-01-09,Wednesday,9,7,07:00:00,1,792,no festivo,2019-01-09 07:00:00,2019,0,0
153,2019-01-09,Wednesday,9,8,08:00:00,1,771,no festivo,2019-01-09 08:00:00,2019,0,0
154,2019-01-09,Wednesday,9,9,09:00:00,1,368,no festivo,2019-01-09 09:00:00,2019,0,0
155,2019-01-09,Wednesday,9,10,10:00:00,1,316,no festivo,2019-01-09 10:00:00,2019,0,0
156,2019-01-09,Wednesday,9,11,11:00:00,1,345,no festivo,2019-01-09 11:00:00,2019,0,0
157,2019-01-09,Wednesday,9,12,12:00:00,1,448,no festivo,2019-01-09 12:00:00,2019,0,0
158,2019-01-09,Wednesday,9,13,13:00:00,1,707,no festivo,2019-01-09 13:00:00,2019,0,0
159,2019-01-09,Wednesday,9,14,14:00:00,1,750,no festivo,2019-01-09 14:00:00,2019,0,0
160,2019-01-09,Wednesday,9,15,15:00:00,1,598,no festivo,2019-01-09 15:00:00,2019,0,0
161,2019-01-09,Wednesday,9,16,16:00:00,1,698,no festivo,2019-01-09 16:00:00,2019,0,0
162,2019-01-09,Wednesday,9,17,17:00:00,1,945,no festivo,2019-01-09 17:00:00,2019,0,0
163,2019-01-09,Wednesday,9,18,18:00:00,1,853,no festivo,2019-01-09 18:00:00,2019,0,0
164,2019-01-09,Wednesday,9,19,19:00:00,1,644,no festivo,2019-01-09 19:00:00,2019,0,0
165,2019-01-09,Wednesday,9,20,20:00:00,1,459,no festivo,2019-01-09 20:00:00,2019,0,0
166,2019-01-09,Wednesday,9,21,21:00:00,1,314,no festivo,2019-01-09 21:00:00,2019,0,0
167,2019-01-09,Wednesday,9,22,22:00:00,1,253,no festivo,2019-01-09 22:00:00,2019,0,0
168,2019-01-09,Wednesday,9,23,23:00:00,1,209,no festivo,2019-01-09 23:00:00,2019,0,0
