,id,address,name,total_bases,longitude,latitude,postal_code
48,52,Glorieta de Embajadores nº 2,Embajadores 2,24,-3.7022591,40.4056107,28012
49,53,Ronda de Atocha nº 34,Casa Encendida,24,-3.6992759,40.4060941,28012
50,54,Calle Santa Isabel nº 57,Museo Reina Sofía,24,-3.6933463,40.4083684,28012
51,55,Ronda de Atocha nº 2,Ronda de Atocha,27,-3.6935205,40.4075606,28012
52,56,Plaza de Santa Ana nº 10,Plaza de Santa Ana,24,-3.7007164,40.4144226,28012
53,57,Calle Valencia nº 1,Plaza de Lavapiés,24,-3.7007111,40.4083061,28012
54,58,Calle Barceló nº 7,Barceló,21,-3.7004230,40.4266828,28004
55,59,Plaza de San Ildefonso,Plaza de San Ildefonso,24,-3.7020842,40.4239757,28004
56,60,Plaza del Carmen nº 1,Plaza del Carmen ,24,-3.7032414,40.4184192,28013
57,61,Calle Santa Cruz del Marcenado nº 24,Santa Cruz del Marcenado,24,-3.7126299,40.4295658,28001
58,62,Calle Augusto Figueroa nº 33,Augusto Figueroa,24,-3.6978950,40.4222862,28004
59,63,Calle Espíritu Santo nº 30,Plaza de Juan Pujol,21,-3.7043418,40.4255495,28004
60,64,Plaza de la Independencia nº 6,Plaza de la Independencia,24,-3.6883980,40.4197520,28001
61,65,Calle O'Donnell nº 28,Narváez,24,-3.6752045,40.4213983,28001
62,66,Calle O'Donnell nº 50,O'Donnell,24,-3.6724968,40.4213148,28009
63,67,Calle Ibiza nº 62,Ibiza,24,-3.6708959,40.4179237,28009
64,69,Calle Antonio Maura nº 15,Antonio Maura,24,-3.6894193,40.4166834,28014
65,71,Calle Almadén nº 28,Almadén,24,-3.6932250,40.4108472,28014
66,72,Calle Espalter nº 1,Espalter,21,-3.6912023,40.4128372,28014
67,73,Avenida de Alfonso XII nº 54,Puerta del Ángel Caído,27,-3.6888220,40.4098080,28014
68,74,Avenida de Menéndez Pelayo nº 63,Puerta del Doce de Octubre,24,-3.6779232,40.4153053,28009
69,75,Calle Doce de Octubre nº 28,Doce de Octubre,24,-3.6738865,40.4159569,28009
70,76,Calle Doctor Esquerdo nº 99,Sainz de Baranda,24,-3.6691838,40.4157413,28007
71,77,Avenida de Nazaret nº 7,Plaza de los Astros,24,-3.6689089,40.4114475,28007
72,78,Avenida de Menéndez Pelayo nº 73,Puerta del Pacífico ,24,-3.6766813,40.4117627,28009
73,79,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,Menéndez Pelayo,24,-3.6784838,40.4082805,28014
74,80,Avenida del Mediterráneo nº 19,Puerta de Mariano de Cavia,24,-3.6751352,40.4071304,28007
75,81,Plaza del Conde de Casal nº 8,Conde de Casal,22,-3.6704220,40.4063500,28007
76,82,Calle Cerro de la Plata nº 2,Pedro Bosch,24,-3.674400,40.400789,28007
77,83,Avenida de Menéndez Pelayo nº 38,Puerta de Granada,24,-3.6803874,40.4051451,28007
78,84,Paseo de la Infanta Isabel nº 3,Atocha A,24,-3.6902255,40.4075685,28007
